State,Animal Name,Facts,Characteristics
Florida,Tree Cricket,"{""Prey"": ""Soft-bodied insects like aphids"", ""Name Of Young"": ""Nymph"", ""Group Behavior"": ""Mainly solitary"", ""Fun Fact"": ""The music of tree crickets is typically lower in pitch than the music produced by other cricket subfamilies!"", ""Biggest Threat"": ""Habitat loss"", ""Most Distinctive Feature"": ""Ability to make musical noises with their wings"", ""Other Name(s)"": ""Pale bush cricket"", ""Habitat"": ""Trees, shrubs, herbs"", ""Predators"": ""Birds, small mammals, reptiles, amphibians, other insects, spiders"", ""Diet"": ""Omnivore"", ""Lifestyle"": ""Nocturnal"", ""Favorite Food"": ""Various plants, insects like aphids"", ""Location"": ""Every continent except Antarctica"", ""Slogan"": ""They make music with their wings"", ""Group"": ""Orchestra""}","{""Color"": ""Green"", ""Skin Type"": ""Exoskeleton"", ""Lifespan"": ""Approximately 90 days"", ""Venomous"": ""No"", ""Aggression"": ""Medium""}"
Florida,Whiptail Lizard,"{""Prey"": ""termites, beetles, ants"", ""Name Of Young"": ""Hatchling"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Many whiptail species reproduce asexually."", ""Biggest Threat"": ""Human overgrazing, habitat loss"", ""Most Distinctive Feature"": ""Long and whiplike tail"", ""Other Name(s)"": ""Racerunner"", ""Gestation Period"": ""two month"", ""Litter Size"": ""two to four eggs"", ""Habitat"": ""Desert, woods, grasslands"", ""Predators"": ""Gila lizards, coyotes, hawks, foxes"", ""Diet"": ""Carnivore"", ""Type"": ""reptile"", ""Common Name"": ""whiptail lizard"", ""Number Of Species"": ""150"", ""Location"": ""North America, Central America, South America, West Indies"", ""Group"": ""solitary""}","{""Color"": ""BrownGreyTan"", ""Skin Type"": ""Scales"", ""Top Speed"": ""17 mph"", ""Lifespan"": ""seven+ years"", ""Weight"": ""under an ounce"", ""Length"": ""1\"" to 2\"""", ""Age of Sexual Maturity"": ""two years""}"
Florida,Yellow Tang,"{""Group Behavior"": ""Solitary"", ""Age Of Independence"": ""At birth"", ""Average Spawn Size"": ""40,000 eggs"", ""Habitat"": ""Saltwater reefs"", ""Predators"": ""Sharks, octopus, crab"", ""Diet"": ""Herbivore"", ""Lifestyle"": ""Solitary"", ""Favorite Food"": ""Algae"", ""Common Name"": ""Yellow Tang"", ""Special Features"": ""Bright yellow body""}","{""Color"": ""Yellow"", ""Skin Type"": ""Scales"", ""Lifespan"": ""Up to 30 years in the wild"", ""Length"": ""8 inches"", ""Venomous"": ""No"", ""Aggression"": ""Medium""}"
Georgia,Admiral Butterfly,"{""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Solitary/Group"", ""Fun Fact"": ""Admiral butterflies are named for their wing patterns, which resemble military insignia!"", ""Biggest Threat"": ""Habitat loss"", ""Most Distinctive Feature"": ""Flashy wing colors and patterns"", ""Wingspan"": ""1.75 to 3.9 inches"", ""Habitat"": ""Forests, fields, jungles, mountain ranges, orchards, near streams and marshes, urban areas"", ""Predators"": ""Monkeys, birds, rats, snakes, frogs, toads, lizards, dragonflies, wasps, ants, flies, spiders"", ""Diet"": ""Herbivore"", ""Lifestyle"": ""Diurnal"", ""Favorite Food"": ""Nectar, rotting fruit, carcasses, urine, excrement"", ""Special Features"": ""Camouflage, mimicry"", ""Slogan"": ""Stunningly beautiful wings"", ""Group"": ""Kaleidoscope, flutter, or swarm""}","{""Color"": ""BrownYellowRedBlueBlackWhiteGreenOrangePurpleMulti-coloredBlack-Brown"", ""Skin Type"": ""Exoskeleton"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Georgia,Agkistrodon Contortrix,"{""Prey"": ""Insects, rodents, birds, rabbits"", ""Name Of Young"": ""Snakes"", ""Group Behavior"": ""Mainly solitarySolitary except during mating season"", ""Most Distinctive Feature"": ""Hourglass shaped markings and copper-colored head"", ""Gestation Period"": ""80-150 days"", ""Average Spawn Size"": ""Four to seven snakes"", ""Habitat"": ""Forests, open woods, rocky crevices"", ""Diet for this Fish"": ""Carnivore"", ""Lifestyle"": ""or Nocturnal Depending on Region and Season"", ""Common Name"": ""Eastern copperhead"", ""Number Of Species"": ""5"", ""Average Clutch Size"": ""-29""}","{""Color"": ""BrownCaramelGrey-BrownLight-Brown"", ""Skin Type"": ""Scales"", ""Lifespan"": ""Up to 29 years"", ""Length"": ""Two to four feet on average"", ""Age of Sexual Maturity"": ""Three and a half years"", ""Venomous"": ""Yes"", ""Aggression"": ""Low""}"
Georgia,Albino (Amelanistic) Corn Snake,"""""",{}
Georgia,Ambrosia Beetle,"{""Prey"": ""Fungi"", ""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""The ambrosia beetle forms a symbiotic relationship with the ambrosia fungi"", ""Most Distinctive Feature"": ""The long oddly shaped shell"", ""Gestation Period"": ""one month"", ""Litter Size"": ""up to 60 eggs"", ""Habitat"": ""Anywhere with hardwood trees, conifers, and woody shrubs"", ""Predators"": ""Insects, spiders, reptiles, frogs, mammals, and birds"", ""Diet"": ""Omnivore"", ""Type"": ""inesct"", ""Common Name"": ""Ambrosia Beetle""}","{""Color"": ""BrownRedBlack"", ""Skin Type"": ""Exoskeleton"", ""Lifespan"": ""up to one year"", ""Weight"": ""1-5mg"", ""Length"": ""0.1-0.3in"", ""Age of Sexual Maturity"": ""A few weeks or months""}"
Georgia,American Eel,"{""Prey"": ""insect larvae, fish, molluscs, bivalves, crustaceans, insects, worms, frogs, plants"", ""Name Of Young"": ""Leptocephalus, glass eel, elver, yellow eel"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Don't eat raw eel! Their blood is poisonous to humans when consumed raw."", ""Estimated Population Size"": ""700,000"", ""Biggest Threat"": ""Human activity"", ""Most Distinctive Feature"": ""Long, snakelike body"", ""Other Name(s)"": ""Atlantic eel, black eel, Boston eel, bronze eel, common eel, freshwater eel, green eel, little eel, river eel, silver eel, slippery eel, snakefish"", ""Gestation Period"": ""Unknown"", ""Litter Size"": ""750 eggs"", ""Habitat"": ""Freshwater, estuaries, Atlantic Ocean, Sargasso Sea"", ""Predators"": ""Fish, bad eagles, seagulls, large waterfowl"", ""Diet"": ""Omnivore"", ""Common Name"": ""American Eel"", ""Number Of Species"": ""1"", ""Location"": ""East coast of North America"", ""Group"": ""Solitary""}","{""Color"": ""BrownYellowWhiteGreenDark BrownSilverLight GreyDark Grey"", ""Skin Type"": ""Scales"", ""Lifespan"": ""15-20 years"", ""Weight"": ""Up to 17 pounds"", ""Length"": ""Up to 4 feet"", ""Age of Sexual Maturity"": ""1-4 years"", ""Age of Weaning"": ""Immediately after birth"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Georgia,Armyworm,"{""Name Of Young"": ""larva"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""They are so named because they \""march\"" in armies of worms from one crop to another in search of food"", ""Biggest Threat"": ""pest control"", ""Most Distinctive Feature"": ""Five stripes of various colors running the length of the body"", ""Other Name(s)"": ""true armyworm moth, white-speck moth, common armyworm or rice armyworm"", ""Gestation Period"": ""3.5 to 6.5 days (egg to larva)"", ""Wingspan"": ""1.5 inches"", ""Litter Size"": ""500 to 1500 eggs per adult female"", ""Habitat"": ""Agricultural crops and weedy grasses"", ""Predators"": ""humans with pesticide treatments, bats, ground beetles, ants, spiders, bobolink blackbirds, starlings, crows; wasp and fly parasitoids; bacterial and fungal diseases"", ""Diet"": ""Herbivore"", ""Type"": ""Insect"", ""Common Name"": ""armyworm"", ""Number Of Species"": ""30"", ""Location"": ""Americas, southern Europe, central Africa, and western Asia"", ""Group"": ""solitary""}","{""Color"": ""Olive-GreyGrey-Brown"", ""Skin Type"": ""Hair"", ""Top Speed"": ""62 mph"", ""Lifespan"": ""36-95 days"", ""Weight"": ""0.026 to 0.18 grams"", ""Length"": ""0.063in to 1.5in larvae, 1.5in wingspan as adult"", ""Age of Sexual Maturity"": ""30-50 days""}"
Georgia,Bagworm Moth Caterpillar,"{""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Infestation"", ""Fun Fact"": ""Bagworm moth caterpillars build protective cases around themselves that occasionally resemble tiny log cabins!"", ""Biggest Threat"": ""Birds"", ""Most Distinctive Feature"": ""They build protective cases around themselves in addition to cocoons"", ""Wingspan"": ""Between 0.47 and 1.42 inches"", ""Habitat"": ""Deciduous and coniferous forests, any area with appropriate plant life"", ""Predators"": ""Birds, wasps"", ""Diet"": ""Herbivore"", ""Lifestyle"": ""Diurnal"", ""Favorite Food"": ""Leaves, needles, fruits, flowers"", ""Origin"": ""North America"", ""Number Of Species"": ""1350"", ""Slogan"": ""They continually enlarge their protective cases"", ""Group"": ""Army""}","{""Color"": ""YellowBlack"", ""Skin Type"": ""Exoskeleton"", ""Length"": ""Up to 1.5 inches"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Georgia,Banded Water Snake,"{""Prey"": ""Frogs, fish and birds"", ""Group Behavior"": ""Solitary except during mating season"", ""Fun Fact"": ""Some water snakes defend themselves violently."", ""Distinctive Feature"": ""Vertical bars around the lip scales"", ""Litter Size"": ""8\u201340"", ""Diet"": ""Omnivore"", ""Lifestyle"": ""Diurnal/Nocturnal"", ""Type"": ""reptile"", ""Common Name"": ""water snake""}","{""Color"": ""BrownGreyRedOlive"", ""Skin Type"": ""Scales"", ""Lifespan"": ""Three years in captivity; eight in the wild"", ""Length"": ""two to five feet"", ""Venomous"": ""No"", ""Aggression"": ""Medium""}"
Georgia,Beewolf wasp,"{""Main Prey"": ""Bees"", ""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Solitary except during mating season"", ""Fun Fact"": ""Beewolf wasps hunt bees to feed to their young!"", ""Biggest Threat"": ""Habitat loss"", ""Most Distinctive Feature"": ""Venomous stinger"", ""Other Name(s)"": ""Beewolf, bee-hunter, bee-killer wasp"", ""Habitat"": ""Soil"", ""Predators"": ""Birds, insects, reptiles, amphibians, mammals"", ""Diet"": ""Omnivore"", ""Lifestyle"": ""Diurnal"", ""Favorite Food"": ""Nectar, pollen"", ""Common Name"": ""Beewolf"", ""Special Features"": ""Venomous stinger"", ""Number Of Species"": ""136"", ""Location"": ""North America, South America, Europe, Africa, Asia"", ""Slogan"": ""They hunt bees"", ""Group"": ""Swarm"", ""Nesting Location"": ""Soil/ground""}","{""Color"": ""YellowBlackDark BrownBlack-Brown"", ""Skin Type"": ""Exoskeleton"", ""Venomous"": ""Yes"", ""Aggression"": ""High""}"
Georgia,Blue Tang,"{""Name Of Young"": ""Fry"", ""Group Behavior"": ""Solitary/SchoolPair"", ""Fun Fact"": ""The blue tang has caudal spines that resemble a surgeon's scalpel!"", ""Most Distinctive Feature"": ""Caudal spines"", ""Other Name(s)"": ""Blue tang surgeonfish, Atlantic blue tang, blue doctor, yellow doctor, blue barber, yellow barber, blue doctorfish"", ""Predators"": ""Reef sharks, large carnivorous fish like tuna, tiger groupers, bar jacks, snappers"", ""Lifestyle"": ""Diurnal"", ""Common Name"": ""Atlantic blue tang"", ""Number Of Species"": ""1"", ""Slogan"": ""One of the most colorful members of the genus Acanthurus"", ""Group"": ""School""}","{""Color"": ""YellowBlue"", ""Skin Type"": ""Scales"", ""Venomous"": ""No"", ""Aggression"": ""Medium""}"
Georgia,Brown Water Snake,"{""Prey"": ""Fish"", ""Fun Fact"": ""Has more scales than any other water snake on the continent: 27 to 33 rows of dorsal scales!"", ""Other Name(s)"": ""Water rattle, southern water snake, pied water snake, greater water snake, water-pilot, aspic, and false moccasin"", ""Litter Size"": ""Up to 61, but typically 20-30"", ""Diet"": ""Omnivore"", ""Type"": ""Reptile"", ""Common Name"": ""Brown water snake, brown watersnake""}","{""Color"": ""Brown"", ""Skin Type"": ""Scales"", ""Lifespan"": ""Up to 9 years in captivity"", ""Length"": ""3.5-6 ft""}"
Georgia,Cane Spider,"{""Prey"": ""Insects, arachnids and small mammals"", ""Main Prey"": ""Butterfly, moths, and cockroaches"", ""Name Of Young"": ""Caterpillar"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Cane spiders don't spin webs to catch prey"", ""Most Distinctive Feature"": ""Cane spiders have dark spots on their legs"", ""Distinctive Feature"": ""Two rows of eyes arranged in front of the spider's head"", ""Other Name(s)"": ""Huntsman spider, house spider, big brown spider"", ""Average Spawn Size"": ""100-400"", ""Habitat"": ""Sugarcane fields and other plantations"", ""Predators"": ""Reptiles, birds and rodents"", ""Diet"": ""Insectivore"", ""Lifestyle"": ""Nocturnal"", ""Favorite Food"": ""Insects"", ""Type"": ""Arachnid (spider)"", ""Common Name"": ""Cane spider"", ""Special Features"": ""Cane spiders can build double trap doors to catch prey"", ""Origin"": ""Tropical regions"", ""Location"": ""Hawaii and other tropical areas"", ""Nesting Location"": ""Underground""}","{""Color"": ""BrownTanDark Brown"", ""Skin Type"": ""Exoskeleton"", ""Lifespan"": ""2 years"", ""Length"": ""0.8\u20131 inch"", ""Venomous"": ""Yes"", ""Aggression"": ""Low""}"
Georgia,Chilean Recluse Spider,"""""",{}
Georgia,Clearnose Skate,"{""Prey"": ""Crustaceans, mollusks, small fish, worms"", ""Main Prey"": ""Crustaceans"", ""Name Of Young"": ""Pup"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""They have spines on their backs!"", ""Biggest Threat"": ""Overfishing"", ""Most Distinctive Feature"": ""Translucent nose patches"", ""Other Name(s)"": ""Brier skate, summer skate"", ""Incubation Period"": ""62-96 days"", ""Average Spawn Size"": ""30 pairs of eggs"", ""Predators"": ""Sharks, large carnivorous fish, humans"", ""Diet"": ""Carnivore"", ""Lifestyle"": ""Nocturnal"", ""Common Name"": ""Clearnose skate"", ""Number Of Species"": ""1"", ""Slogan"": ""The skate with translucent nose patches""}","{""Color"": ""BrownGreyWhite"", ""Skin Type"": ""Skin"", ""Age of Sexual Maturity"": ""2-4 years for males, 4-6 years for females"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Georgia,Common Yellowthroat,"{""Prey"": ""Insects, spiders, larvae, invertebrates"", ""Main Prey"": ""Insects"", ""Name Of Young"": ""Chicks"", ""Group Behavior"": ""Solitary/PairsFlocks"", ""Fun Fact"": ""The Common Yellowthroat stays close to the ground and uses stealth to survive!"", ""Estimated Population Size"": ""77 million mature individuals"", ""Biggest Threat"": ""Habitat degradation"", ""Most Distinctive Feature"": ""Black mask rimmed in white above"", ""Distinctive Feature"": ""Bright yellow bib and underparts; olive-brown upper parts; sharp, pointed black bill; black eyes; pinkish legs and feet; females lack mask"", ""Other Name(s)"": ""Maryland Yellowthroat, Mascarita com\u00fan (Spanish), Paruline masque (French)"", ""Wingspan"": ""5.9 - 7.5 inches"", ""Incubation Period"": ""12 days"", ""Age Of Fledgling"": ""10 - 12 days"", ""Habitat"": ""Marshes, wetlands, open pine forests, grasslands, prairies, shrublands, other areas with dense, low vegetation"", ""Predators"": ""Hawks, falcons, Loggerhead Shrikes, raccoons, mice, chipmunks, snakes, skunks, opossums"", ""Diet"": ""Insectivore"", ""Lifestyle"": ""DiurnalSolitaryFlockPair"", ""Favorite Food"": ""Insects"", ""Common Name"": ""Common Yellowthroat"", ""Special Features"": ""Black mask with white rim above; bright yellow underparts"", ""Number Of Species"": ""1"", ""Location"": ""North America, Central America and the Caribbean"", ""Average Clutch Size"": ""4"", ""Nesting Location"": ""On the ground or near the ground in dense vegetation"", ""Migratory"": ""1""}","{""Color"": ""BrownYellowBlackWhiteOlive"", ""Skin Type"": ""Feathers"", ""Lifespan"": ""10 years"", ""Weight"": ""0.3 ounces"", ""Length"": ""4.3 - 5.1 inches"", ""Age of Sexual Maturity"": ""1 year"", ""Venomous"": ""No"", ""Aggression"": ""Medium""}"
Georgia,Corn Snake,"{""Prey"": ""Rats, mice, baby birds, eggs"", ""Main Prey"": ""Rats and mice"", ""Name Of Young"": ""Hatchling"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Corn snakes are partly arboreal and are excellent climbers."", ""Most Distinctive Feature"": ""Shield pattern on their back, and"", ""Other Name(s)"": ""Red cornsnake, chicken snake, red rat snake, eastern corn snake."", ""Temperament"": ""Relatively docile"", ""Litter Size"": ""10-30"", ""Habitat"": ""Forested areas, fields, swamps, hardwood hammocks, neighborhoods bordering habitat."", ""Diet for this Fish"": ""Carnivore"", ""Lifestyle"": ""Diurnalor Nocturnal Depending on Region and Season"", ""Favorite Food"": ""Rats and mice"", ""Common Name"": ""Corn snake, red rat snake, eastern red rat snake, Slowinski's rat snake, ."", ""Number Of Species"": ""2""}","{""Color"": ""BrownGreyRedBeigeLight-Brown"", ""Skin Type"": ""Scales"", ""Lifespan"": ""15 years in captivity, less in the wild""}"
Georgia,Crocodylomorph,"{""Prey"": ""Fish, birds, turtles, snakes, mammals"", ""Main Prey"": ""Fish"", ""Group Behavior"": ""SolitaryGroup"", ""Fun Fact"": ""Crocodylomorphs include extinct ancient species as well as 26 living species today."", ""Estimated Population Size"": ""6 million"", ""Biggest Threat"": ""Hunting, loss of habitat"", ""Most Distinctive Feature"": ""Armor-like scales"", ""Distinctive Feature"": ""Powerful jaws, teeth."", ""Habitat"": ""Tropical"", ""Predators"": ""Lions, tigers, leopards, pythons, anacondas"", ""Diet"": ""Carnivore"", ""Number Of Species"": ""26""}","{""Color"": ""Dark BrownDark GreyDull OliveBlack-Brown"", ""Skin Type"": ""Scales"", ""Venomous"": ""No"", ""Aggression"": ""High""}"
Georgia,De Kay’s Brown Snake,"""""",{}
Georgia,Eastern Box Turtle,"{""Group Behavior"": ""Solitary"", ""Fun Fact"": ""When injured or damaged, the shell of the eastern box turtle can regenerate"", ""Biggest Threat"": ""Dogs, ants, snakes, hogs, raccoons, crows, and skunks"", ""Most Distinctive Feature"": ""Eastern box turtles can withdraw completely into their shell"", ""Distinctive Feature"": ""Eastern box turtles have webbed feet"", ""Incubation Period"": ""50-90 days"", ""Habitat"": ""Terrestrial habitats close to ponds and wetlands"", ""Predators"": ""Dogs, ants, snakes, hogs, raccoons, crows, and skunks"", ""Diet"": ""Omnivore"", ""Lifestyle"": ""Diurnal"", ""Favorite Food"": ""Young feed onanimal material, such as slugs, worms,insectsand larvae. Adults eatplantmaterial, such as seeds, fruits, roots, fungi and grasses"", ""Type"": ""Box turtle"", ""Common Name"": ""Eastern Box turtle"", ""Location"": ""Eastern United States""}","{""Color"": ""BrownYellowBlackOrange"", ""Skin Type"": ""Hard Outer Shell"", ""Lifespan"": ""25-100 years"", ""Weight"": ""1-2 lbs"", ""Length"": ""5-6 inches"", ""Age of Sexual Maturity"": ""10-20 years"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Georgia,Eastern Chipmunk,"{""Prey"": ""Insects and worms"", ""Name Of Young"": ""pup"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""The name chipmunk is derived from an Ojibwe word that means \u201cone who descends the trees headfirst.\u201d"", ""Biggest Threat"": ""Predators"", ""Most Distinctive Feature"": ""The dark brown and white stripes down the back"", ""Gestation Period"": ""35 days"", ""Litter Size"": ""two to five"", ""Habitat"": ""Urban and suburban parks, backyards, human habitations, deciduous woods"", ""Predators"": ""Foxes, bobcats, birds of prey, coyotes, dogs and cats, raccoons, red squirrels, mustelids"", ""Diet"": ""Herbivore"", ""Type"": ""mammal"", ""Common Name"": ""Eastern Chipmunk"", ""Number Of Species"": ""1"", ""Location"": ""United States east of the Mississippi River and southern Canada"", ""Group"": ""solitary""}","{""Color"": ""YellowWhiteDark BrownGrey-Brown"", ""Skin Type"": ""Fur"", ""Top Speed"": ""18 mph"", ""Lifespan"": ""two to eight years"", ""Weight"": ""2.33 to 5.30 ounces"", ""Length"": ""10 to 12 inches"", ""Age of Sexual Maturity"": ""six months for females, eight months for males"", ""Age of Weaning"": ""40 days""}"
Georgia,Eastern Diamondback Rattlesnake,"{""Prey"": ""rats, mice, rabbits, squirrels, and sometimes birds."", ""Main Prey"": ""Small mammals"", ""Name Of Young"": ""Neonate"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""This is the biggest venomous snake in North America, with a few that reach 8 feet long."", ""Most Distinctive Feature"": ""Their rattle."", ""Other Name(s)"": ""Diamond-backed rattlesnake, eastern diamondback, diamond rattlesnake, diamond-back rattlesnake, common rattlesnake, diamond-back, diamond-patch rattler, eastern diamond-back, eastern diamond rattlesnake, Florida diamond-back (rattlesnake), Florida rattlesnake, lozenge-spotted rattlesnake, rattler, rattlesnake, southeastern diamond-backed rattlesnake, southeastern diamond-backed rattler, southern woodland rattler, water rattle, water rattlesnake, and diamondback rattlesnake."", ""Gestation Period"": ""6-7 months"", ""Temperament"": ""A little prickly, but reclusive."", ""Age Of Independence"": ""A few hours"", ""Litter Size"": ""7-21"", ""Diet for this Fish"": ""Carnivore"", ""Lifestyle"": ""CrepuscularDiurnal/NocturnalNocturnal/Crepuscularor Nocturnal Depending on Region and Season"", ""Favorite Food"": ""Rabbits"", ""Common Name"": ""Eastern diamondback""}","{""Color"": ""BrownGreyBlackWhiteTan"", ""Skin Type"": ""Scales"", ""Lifespan"": ""15-20+ years"", ""Length"": ""2-8 feet"", ""Venomous"": ""Yes"", ""Aggression"": ""Medium""}"
Georgia,Eastern Fence Lizard,"{""Prey"": ""insects, arachnids, and arthropods"", ""Name Of Young"": ""hatchling"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Females are usually larger than males."", ""Estimated Population Size"": ""over 1,000,000"", ""Biggest Threat"": ""habitat loss"", ""Most Distinctive Feature"": ""spiny scales, wavelike markings"", ""Other Name(s)"": ""fence lizard, plateau lizard, prairie lizard"", ""Gestation Period"": ""8-10 weeks"", ""Litter Size"": ""3-16"", ""Habitat"": ""forest, grassland, and shrublands"", ""Predators"": ""snakes, birds, larger lizards, cats"", ""Diet"": ""Carnivore"", ""Lifestyle"": ""Diurnal"", ""Type"": ""reptile"", ""Common Name"": ""Eastern fence lizard"", ""Number Of Species"": ""7"", ""Location"": ""parts of the United States, Mexico"", ""Group"": ""lounge""}","{""Color"": ""BrownGreyBlueBlack"", ""Skin Type"": ""Scales"", ""Lifespan"": ""2-5 years"", ""Weight"": ""15g"", ""Length"": ""4-7 inches"", ""Age of Sexual Maturity"": ""1-2 years""}"
Georgia,Eastern Glass Lizard,"{""Prey"": ""Lizards, snakes, mice, invertebrates such as insects, spiders, earthworms and snails as well as each other."", ""Name Of Young"": ""Hatchling"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""When the glass lizard loses its tail it can grow another one. But the new tail lacks the markings of the old one and is usually shorter."", ""Biggest Threat"": ""Habitat destruction, vehicular accidents"", ""Most Distinctive Feature"": ""Lack of legs even though it\u2019s a lizard and not a snake"", ""Other Name(s)"": ""Joint snake, stinging snake, horn snake"", ""Gestation Period"": ""50 to 60 days"", ""Litter Size"": ""Five to 15 eggs"", ""Habitat"": ""Wet areas, including places near marshes, forests near the ocean, wet meadows, mesic semi-tropical or tropical hammocks, coastal dunes"", ""Predators"": ""Foxes, skunks, birds of prey, snakes and raccoons"", ""Diet"": ""Carnivore"", ""Type"": ""reptile"", ""Common Name"": ""Eastern glass lizard"", ""Number Of Species"": ""1"", ""Location"": ""Southeastern United States"", ""Group"": ""solitary""}","{""Color"": ""BrownYellowBlackWhiteGreen"", ""Skin Type"": ""Scales"", ""Top Speed"": ""4 mph"", ""Lifespan"": ""Lifespan of 10 to 30 years"", ""Weight"": ""11 to 21 ounces"", ""Length"": ""18 to 43 inches"", ""Age of Sexual Maturity"": ""Two to three years""}"
Georgia,Eastern Hognose Snake,"{""Prey"": ""Frogs, lizards, toads, rodents"", ""Main Prey"": ""Toads"", ""Name Of Young"": ""hatchling"", ""Group Behavior"": ""SolitarySolitary except during mating seasonCommunal Dens"", ""Fun Fact"": ""Eastern hognose snakes are venomous, but only to frogs and toads."", ""Biggest Threat"": ""Habitat destruction"", ""Most Distinctive Feature"": ""Upturned scale on the snout"", ""Other Name(s)"": ""spreading adder, spread'em outer, adder, bastard rattlesnake, black adder, black blowing viper, black hog-nosed snake, black viper snake, blauser, blowing adder, blow snake, buckwheat-nose snake, calico snake, checkered adder, chunk head, common hog-nosed snake, common spreading adder, deaf adder, eastern hognose snake, flat-head, flat-head adder, hay-nose snake, hissing adder, hissing snake, hog-nosed adder, hog-nosed rattler, hog-nose snake, hog-nosed viper, hissing viper, (mountain) moccasin, North American adder, North American hog-nosed snake, pilot, poison viper, puff(ing) adder, red snake, rock adder, rossel bastard, sand adder, sand viper, spotted (spreading) adder, spread nelly, spread-head moccasin, spread-head snake, spread-head viper, flat-head adder viper"", ""Gestation Period"": ""2 months"", ""Lifestyle"": ""Crepuscularor Nocturnal Depending on Region and Season"", ""Favorite Food"": ""Toads"", ""Common Name"": ""Eastern hognose snake"", ""Location"": ""Eastern United States and southern Ontrario, Canada"", ""Average Clutch Size"": ""25"", ""Nesting Location"": ""Sand, loose soil, rotten wood""}","{""Color"": ""BrownGreyYellowRedBlackTanGreenDark BrownCream"", ""Skin Type"": ""Scales"", ""Lifespan"": ""12-18 years"", ""Length"": ""24-33 inches"", ""Age of Sexual Maturity"": ""2-3 years"", ""Venomous"": ""Yes"", ""Aggression"": ""Low""}"
Georgia,Eastern Rat Snake,"{""Prey"": ""Rodents, eggs, birds"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Rat snakes are medium-to-large, nonvenomous snakes that kill by constriction."", ""Litter Size"": ""12-20"", ""Diet"": ""Carnivore"", ""Lifestyle"": ""DiurnalCrepuscular"", ""Common Name"": ""Eastern rat snake, black rat snake, chicken snake""}","{""Color"": ""GreyYellowBlackTanOrange"", ""Skin Type"": ""Scales"", ""Lifespan"": ""10-15 years"", ""Length"": ""36 to 72 inches""}"
Georgia,Eastern Woodrat,"{""Name Of Young"": ""kittens or pups"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""The eastern woodrat mating ritual involves a potentially deadly fight between the male and female before reproduction begins!"", ""Estimated Population Size"": ""over 10,000 individuals"", ""Biggest Threat"": ""habitat loss"", ""Most Distinctive Feature"": ""Exceptionally long tail of 15-20cm"", ""Other Name(s)"": ""bush rat"", ""Gestation Period"": ""30-37 days"", ""Litter Size"": ""1-3"", ""Habitat"": ""Forest, caves, shrublands, grasslands, wetlands, and rocky outcrops"", ""Predators"": ""Owls, raccoons, weasels, foxes, and snakes"", ""Diet"": ""Herbivore"", ""Type"": ""Rodent"", ""Common Name"": ""Eastern woodrat"", ""Number Of Species"": ""8"", ""Location"": ""Southeastern and Midwestern United States, from southern Illinois and New York state to as far south as central Florida"", ""Group"": ""Solitary""}","{""Color"": ""Grey-Brown"", ""Skin Type"": ""Hair"", ""Lifespan"": ""3 years"", ""Weight"": ""0.47-0.73 lb (213-331 g)"", ""Length"": ""13.4-16.9 in (34-43 cm)"", ""Age of Sexual Maturity"": ""5 months (females)"", ""Age of Weaning"": ""1 month""}"
Georgia,Flea,"{""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Adult fleas can jump up to 7 inches in the air"", ""Estimated Population Size"": ""Unknown"", ""Biggest Threat"": ""None"", ""Most Distinctive Feature"": ""The long legs"", ""Gestation Period"": ""A week"", ""Litter Size"": ""25-40 eggs per day"", ""Habitat"": ""Mammal and bird hosts in various habitats"", ""Predators"": ""Insects, spiders, lizards, snakes, and frogs"", ""Diet"": ""Carnivore"", ""Favorite Food"": ""Blood and other organic matter"", ""Type"": ""Insect"", ""Common Name"": ""Flea"", ""Number Of Species"": ""1998"", ""Location"": ""Worldwide""}","{""Color"": ""BrownRedBlack"", ""Skin Type"": ""Exoskeleton"", ""Top Speed"": ""4.25 mph"", ""Lifespan"": ""A few months to a year"", ""Weight"": ""1mg"", ""Length"": ""1.5-3.3mm (0.1in)"", ""Age of Sexual Maturity"": ""3-4 weeks""}"
